name,tag,oNamCol,product
Sant_2439,Sant_2439,ThiJ/PfpI domain-containing protein,ThiJ/PfpI domain-containing protein
Sant_2440,Sant_2440,Acetoin dehydrogenase,Acetoin dehydrogenase
Sant_2441,Sant_2441,Putative arabinose efflux permease,Putative arabinose efflux permease
Sant_2442,Sant_2442,hypothetical protein,hypothetical protein
pirB,Sant_2443,pirB,JHE-like toxin
pirA,Sant_2444,pirA,JHE-like toxin
Sant_2445,Sant_2445,Putative inner membrane protein,Putative inner membrane protein
Sant_2446,Sant_2446,hypothetical protein,hypothetical protein
Sant_ps2447,Sant_ps2447,Putative integrase; Truncated,
rluE,Sant_ps2448,rluE,
nudJ,Sant_2449,nudJ,NUDIX hydrolase
trmU,Sant_2450,trmU,TRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
hflD,Sant_2451,hflD,High frequency lysogenization protein
purB,Sant_2452,purB,Adenylosuccinate lyase
phoP,Sant_2453,phoP,DNA-binding transcriptional regulator
phoQ,Sant_2454,phoQ,Sensor protein
ycfD,Sant_2455,ycfD,Cupin 4 family protein
pepT,Sant_2456,pepT,Peptidase T
npdA,Sant_2457,npdA,NAD-dependent deacetylase (Regulatory protein SIR2-like protein)
lolE,Sant_2458,lolE,Outer membrane-specific lipoprotein transporter subunit
lolD,Sant_2459,lolD,Lipoprotein releasing system ATP-binding protein
lolc,Sant_2460,lolc,Lipoprotein-releasing ABC transporter permease protein
mfd,Sant_2461,mfd,Transcription-repair coupling factor
Sant_2462,Sant_2462,hypothetical protein,hypothetical protein
ndh,Sant_2463,ndh,NADH dehydrogenase
ycfP,Sant_2464,ycfP,Hypothetical protein
pagO,Sant_2465,pagO,Putative drug/metabolite exporter family transporter
Sant_2466,Sant_2466,Putative thiamine kinase,Putative thiamine kinase
lpoB,Sant_2467,lpoB,Penicillin-binding protein activator
ycfL,Sant_2468,ycfL,membrane protein
ycfF,Sant_2469,ycfF,purine nucleoside phosphoramidase
ptsG,Sant_2470,ptsG,PTS system glucose-specific transporter subunit IIBC
ycfH,Sant_2471,ycfH,Putative metallodependent hydrolase
holB,Sant_2472,holB,DNA polymerase III delta prime subunit
tmk,Sant_2473,tmk,Thymidylate kinase (dTMP kinase)
yceG,Sant_2474,yceG,Putative aminodeoxychorismate lyase
pabC,Sant_2475,pabC,4-amino-4-deoxychorismate lyase
fabF,Sant_2476,fabF,3-oxoacyl-[acyl-carrier-protein] synthase II
acpP,Sant_2477,acpP,Acyl carrier protein (ACP)
fabG,Sant_2478,fabG,3-oxoacyl-[acyl-carrier protein] reductase
fabD,Sant_2479,fabD,Malonyl CoA-acyl carrier protein transacylase
fabH,Sant_2480,fabH,3-oxoacyl-(acyl carrier protein) synthase III
plsX,Sant_2481,plsX,Fatty acid/phospholipid synthesis protein
rpmF,Sant_2482,rpmF,50S ribosomal protein L32
Sant_2483,Sant_2483,hypothetical protein,hypothetical protein
maf,Sant_2484,maf,Septum formation protein
rluC,Sant_2485,rluC,23S rRNA pseudouridylate synthase C
rne,Sant_2486,rne,Ribonuclease E
pyrC,Sant_2487,pyrC,Dihydroorotase
Sant_2488,Sant_2488,DNA damage-inducible protein I,DNA damage-inducible protein I
Sant_2489,Sant_2489,hypothetical protein,hypothetical protein
bssS,Sant_2490,bssS,Biofilm formation regulatory protein
solA,Sant_2491,solA,N-methyl-L-tryptophan oxidase
yceA,Sant_2492,yceA,Rhodanese domain protein
Sant_2493,Sant_2493,NADPH dehydrogenase,NADPH dehydrogenase
lpxL,Sant_2494,lpxL,Lipid A biosynthesis acyltransferase
mdtG,Sant_2495,mdtG,Major facilitator superfamily transporter
Sant_2496,Sant_2496,hypothetical protein,hypothetical protein
msyB,Sant_2497,msyB,Suppressor of SecY
yceK,Sant_2498,yceK,Putative periplasmic lipoprotein
Sant_2499,Sant_2499,hypothetical protein,hypothetical protein
mdoH,Sant_2500,mdoH,Glucosyltransferase
mdoG,Sant_2501,mdoG,Glucan biosynthesis protein G
Sant_2502,Sant_2502,Appr-1-p processing enzyme domain protein (ADP-ribose modifying),Appr-1-p processing enzyme domain protein (ADP-ribose modifying)
Sant_2503,Sant_2503,Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosidase,Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosidase
Sant_2504,Sant_2504,Short chain dehydrogenase/reductase family oxidoreductase,Short chain dehydrogenase/reductase family oxidoreductase
Sant_2505,Sant_2505,Putative bacteriophage tail fiber assembly protein,Putative bacteriophage tail fiber assembly protein
yedJ,Sant_2506,yedJ,Putative metal-dependent phosphohydrolase
Sant_2507,Sant_2507,hypothetical protein,hypothetical protein
Sant_2508,Sant_2508,Phospholipase/carboxylesterase,Phospholipase/carboxylesterase
Sant_2509,Sant_2509,Transcriptional regulator LysR-family,Transcriptional regulator LysR-family
ybiS,Sant_2510,ybiS,L D-transpeptidase
Sant_2511,Sant_2511,hypothetical protein,hypothetical protein
ybjX,Sant_2512,ybjX,Virulence factor VirK
Sant_2513,Sant_2513,Putative transcriptional regulator PAS and GerEdomains,Putative transcriptional regulator PAS and GerEdomains
Sant_ps2514,Sant_ps2514,Pseudogene,
Sant_ps2515,Sant_ps2515,Pseudogene,
Sant_ps2516,Sant_ps2516,Pseudogene,
Sant_2517,Sant_2517,Putative transposase,Putative transposase
Sant_ps2518,Sant_ps2518,hypothetical protein; Frameshifted,
Sant_ps2519,Sant_ps2519,Pseudogene,
Sant_2520,Sant_2520,Toxin-antitoxin system toxin component,Toxin-antitoxin system toxin component
Sant_2521,Sant_2521,Putative XRE family transcriptional regulator,Putative XRE family transcriptional regulator
Sant_2522,Sant_2522,hypothetical protein,hypothetical protein
Sant_2523,Sant_2523,Putative transcriptional regulator XRE family,Putative transcriptional regulator XRE family
Sant_2524,Sant_2524,hypothetical protein,hypothetical protein
Sant_2525,Sant_2525,Baseplate hub subunit and tail lysozyme,Baseplate hub subunit and tail lysozyme
Sant_2526,Sant_2526,Phage protein,Phage protein
Sant_2527,Sant_2527,Putative phage protein,Putative phage protein
Sant_2528,Sant_2528,Bacteriophage tail fiber assembly protein,Bacteriophage tail fiber assembly protein
Sant_2529,Sant_2529,Gp19 phage tail fiber protein,Gp19 phage tail fiber protein
Sant_2530,Sant_2530,Phage protein,Phage protein
Sant_2531,Sant_2531,Phage protein,Phage protein
Sant_2532,Sant_2532,Phage protein,Phage protein
Sant_2533,Sant_2533,Phage tail tape measure protein,Phage tail tape measure protein
Sant_2534,Sant_2534,hypothetical protein,hypothetical protein
Sant_2535,Sant_2535,Phage protein,Phage protein
Sant_2536,Sant_2536,Phage protein,Phage protein
Sant_2537,Sant_2537,Phage protein,Phage protein
Sant_2538,Sant_2538,Phage protein putative holin protein,Phage protein putative holin protein
Sant_2539,Sant_2539,Putative tail tube protein,Putative tail tube protein
Sant_2540,Sant_2540,Tail sheath protein,Tail sheath protein
Sant_2541,Sant_2541,Phage protein,Phage protein
Sant_2542,Sant_2542,Phage protein,Phage protein
Sant_2543,Sant_2543,Phage head completion protein,Phage head completion protein
Sant_2544,Sant_2544,Phage terminase subunit,Phage terminase subunit
Sant_2545,Sant_2545,Phage major capsid protein P2 family,Phage major capsid protein P2 family
Sant_2546,Sant_2546,Phage capsid scaffolding protein,Phage capsid scaffolding protein
Sant_2547,Sant_2547,Phage terminase subunit,Phage terminase subunit
Sant_2548,Sant_2548,Phage portal protein PbsX family,Phage portal protein PbsX family
Sant_2549,Sant_2549,Bacteriophage transcription regulator protein,Bacteriophage transcription regulator protein
Sant_2550,Sant_2550,Putative phage-related protein primase domain present,Putative phage-related protein primase domain present
Sant_2551,Sant_2551,DNA-binding protein putative prophage regulator,DNA-binding protein putative prophage regulator
Sant_2552,Sant_2552,putative bacteriophage protein,putative bacteriophage protein
Sant_2553,Sant_2553,Putative prophage transcriptional regulator,Putative prophage transcriptional regulator
Sant_2554,Sant_2554,Integrase family protein,Integrase family protein
leuZ,Sant_t2555,leuZ tRNA,tRNA-Leu
cysT,Sant_t2556,cysT tRNA,tRNA-Cys
glyW,Sant_t2557,glyW tRNA,tRNA-Gly
pgsA,Sant_2558,pgsA,Phosphatidylglycerophosphate synthetase
uvrC,Sant_2559,uvrC,Excinuclease ABC subunit C
uvrY,Sant_2560,uvrY,BarA-associated response regulator
Sant_2561,Sant_2561,hypothetical protein,hypothetical protein
ygdC,Sant_2562,ygdC,GlpM family protein
Sant_2563,Sant_2563,AraC family transcriptional regulator,AraC family transcriptional regulator
Sant_2564,Sant_2564,hypothetical protein,hypothetical protein
Sant_2565,Sant_2565,Putative transcriptional regulator PAS and GerEdomains,Putative transcriptional regulator PAS and GerEdomains
Sant_2566,Sant_2566,Acetyltransferase 3,Acetyltransferase 3
lysX,Sant_t2567,lysX tRNA,tRNA-Lys
Sant_2568,Sant_2568,AraC family transcriptional regulator,AraC family transcriptional regulator
Sant_2569,Sant_2569,hypothetical protein,hypothetical protein
Sant_2570,Sant_2570,Stress induced protein,Stress induced protein
Sant_2571,Sant_2571,NADPH-dependent FMN reductase,NADPH-dependent FMN reductase
Sant_2572,Sant_2572,hypothetical protein,hypothetical protein
Sant_2573,Sant_2573,Hemolysin expression-modulating protein,Hemolysin expression-modulating protein
Sant_2574,Sant_2574,hypothetical protein,hypothetical protein
Sant_2575,Sant_2575,hypothetical protein,hypothetical protein
nac,Sant_2576,nac,Nitrogen assimilation regulator
Sant_ps2577,Sant_ps2577,Pseudogene,
Sant_2578,Sant_2578,Yop type III secretion system effector,Yop type III secretion system effector
Sant_2579,Sant_2579,Putative collagen/cell wall adhesion protein,Putative collagen/cell wall adhesion protein
serT,Sant_t2580,serT tRNA,tRNA-Ser
yccA,Sant_2581,yccA,membrane protein
tusE,Sant_2582,tusE,TRNA 2-thiouridine synthesizing protein E
yccX,Sant_2583,yccX,Acylphosphatase
rlmI,Sant_2584,rlmI,Ribosomal RNA large subunit methyltransferase I
hspQ,Sant_2585,hspQ,Heat shock protein
yccU,Sant_2586,yccU,Putative CoA binding protein
Sant_2587,Sant_2587,hypothetical protein,hypothetical protein
mgsA,Sant_2588,mgsA,Methylglyoxal synthase
helD,Sant_2589,helD,DNA helicase IV
yccF,Sant_2590,yccF,Putative membrane protein
yccS,Sant_2591,yccS,Putative membrane protein
sxy,Sant_2592,sxy,Regulator of competence-specific genes
sulA,Sant_2593,sulA,SOS cell division inhibitor
ompA,Sant_2594,ompA,Outer membrane protein A
Sant_ps2595,Sant_ps2595,Phage integrase; Truncated,
Sant_2596,Sant_2596,hypothetical protein,hypothetical protein
Sant_2597,Sant_2597,hypothetical protein,hypothetical protein
matP,Sant_2598,matP,Ter macrodomain organizer matS-binding protein
ycbZ,Sant_2599,ycbZ,Putative ATP-dependent protease
fabA,Sant_2600,fabA,3-hydroxydecanoyl-(acyl carrier protein) dehydratase
rmf,Sant_2601,rmf,Ribosome modulation factor
ymbA,Sant_2602,ymbA,Putative lipoprotein
pqiB,Sant_2603,pqiB,Paraquat-inducible protein B
pqiA,Sant_2604,pqiA,Paraquat-inducible protein A
uup,Sant_2605,uup,ABC transporter ATPase component
rlmL,Sant_2606,rlmL,23S rRNA m(2)G2445 methyltransferase
ycbX,Sant_2607,ycbX,Putative iron-sulfur binding protein
zapC,Sant_2608,zapC,Cell division protein
pyrD,Sant_2609,pyrD,Dihydroorotate dehydrogenase 2
pepN,Sant_2610,pepN,Aminopeptidase N
pncB,Sant_2611,pncB,Nicotinate phosphoribosyltransferase
asnS,Sant_2612,asnS,Asparaginyl-tRNA synthetase
ompF2,Sant_2613,ompF2,Outer membrane protein F
aspC,Sant_2614,aspC,Aromatic amino acid aminotransferase
ycbL,Sant_2615,ycbL,Zn-dependent hydrolase
Sant_2616,Sant_2616,hypothetical protein,hypothetical protein
ycbB,Sant_2617,ycbB,Peptidoglycan-binding domain 1 protein
mukB,Sant_2618,mukB,Chromosome partition protein
mukE,Sant_2619,mukE,Condesin subunit E
mukF,Sant_2620,mukF,Condesin subunit F
smtA,Sant_2621,smtA,Metallothionein
ycbC,Sant_2622,ycbC,membrane protein
Sant_2623,Sant_2623,hypothetical protein,hypothetical protein
kdsB,Sant_2624,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase
Sant_2625,Sant_2625,hypothetical protein,hypothetical protein
lpxK,Sant_2626,lpxK,Tetraacyldisaccharide 4'-kinase
msbA,Sant_2627,msbA,Lipid transporter ATP-binding/permease protein
Sant_2628,Sant_2628,Putative competence related protein,Putative competence related protein
Sant_2629,Sant_2629,hypothetical protein,hypothetical protein
ihfB,Sant_2630,ihfB,Integration host factor subunit beta
rpsA,Sant_2631,rpsA,30S ribosomal protein S1
cmk,Sant_2632,cmk,Cytidylate kinase
aroA,Sant_2633,aroA,3-phosphoshikimate 1-carboxyvinyltransferase
serC,Sant_2634,serC,Phosphoserine aminotransferase
Sant_2635,Sant_2635,hypothetical protein,hypothetical protein
focA,Sant_2636,focA,Formate transporter
pflB,Sant_2637,pflB,Formate acetyltransferase 1
pflA,Sant_2638,pflA,Pyruvate formate lyase-activating enzyme 1
Sant_2639,Sant_2639,ABC transporter ATP-binding cassette transporter,ABC transporter ATP-binding cassette transporter
Sant_2640,Sant_2640,Major facilitator superfamily transporter,Major facilitator superfamily transporter
serS,Sant_2641,serS,Seryl-tRNA synthetase
rarA,Sant_2642,rarA,Recombination factor protein
lolA,Sant_2643,lolA,Outer-membrane lipoprotein carrier protein
ftsK,Sant_2644,ftsK,Cell division protein
lrp,Sant_2645,lrp,Leucine responsive regulatory protein
trxB,Sant_2646,trxB,Thioredoxin reductase
cydD,Sant_2647,cydD,Cysteine\glutathione ABC transporter membrane\ATP-binding component
cydC,Sant_2648,cydC,Cysteine/glutathione ABC transporter membrane/ATP-binding protein
aat,Sant_2649,aat,Leucyl/phenylalanyl-tRNA/protein transferase
infA,Sant_2650,infA,InfA Translation initiation factor IF-1
clpA,Sant_2651,clpA,ATP-dependent Clp protease ATP-binding subunit
clpS,Sant_2652,clpS,ATP-dependent Clp protease adapter protein
cspD,Sant_2653,cspD,Cold shock-like protein
Sant_2654,Sant_2654,hypothetical protein,hypothetical protein
poxB,Sant_2655,poxB,Pyruvate dehydrogenase
ltaE,Sant_2656,ltaE,L-threonine aldolase
amiD1,Sant_2657,amiD1,N-acetylmuramoyl-L-alanine amidase
Sant_2658,Sant_2658,Putative lipoprotein,Putative lipoprotein
artP,Sant_2659,artP,Arginine transport ATP-binding protein
artI,Sant_2660,artI,Arginine ABC transporter periplasmic component
artQ,Sant_2661,artQ,Arginine transporter permease subunit
artM,Sant_2662,artM,Arginine transporter permease subunit
rlmC,Sant_2663,rlmC,23S rRNA methyluridine methyltransferase
ybjO,Sant_2664,ybjO,membrane protein
potI,Sant_2665,potI,Putrescine ABC transporter membrane protein
potH,Sant_2666,potH,Putrescine ABC transporter membrane protein
potG,Sant_2667,potG,Putrescine transporter ATP-binding subunit
potF,Sant_2668,potF,Putrescine ABC transporter periplasmic substrate-binding protein
ybjN,Sant_2669,ybjN,Sensory transduction regulator
rimK,Sant_2670,rimK,Ribosomal protein S6 modification protein
grxA,Sant_2671,grxA,Glutaredoxin 1
Sant_2672,Sant_2672,hypothetical protein,hypothetical protein
sdaC,Sant_2673,sdaC,Serine transport protein
dacC,Sant_2674,dacC,D-alanyl-D-alanine carboxypeptidase Penicillin binding protein
gstB,Sant_2675,gstB,Putative glutathione S-transferase
yliI,Sant_2676,yliI,Soluble aldose sugar dehydrogenase
Sant_2677,Sant_2677,5'-nucleotidase lipoprotein e(P4) family,5'-nucleotidase lipoprotein e(P4) family
gsiD,Sant_2678,gsiD,Binding-protein-dependent transport systems inner membrane component
gsiC,Sant_2679,gsiC,Putative glutathione ABC transport permease
gsiB,Sant_2680,gsiB,Extracellular solute-binding protein
gsiA,Sant_2681,gsiA,Glutathione ABC transporter
iaaA,Sant_2682,iaaA,L-asparaginase
moeA,Sant_2683,moeA,Molybdopterin biosynthesis protein
moeB,Sant_2684,moeB,Molybdopterin biosynthesis protein
rlmF,Sant_2685,rlmF,Putative SAM-dependent methyltransferase
ybiT,Sant_2686,ybiT,ABC transporter-like protein putative DrugRA2 family transporter
ompX,Sant_2687,ompX,Outer membrane protein X
dps,Sant_2688,dps,DNA starvation/stationary phase protection protein
Sant_2689,Sant_2689,hypothetical protein,hypothetical protein
Sant_2690,Sant_2690,hypothetical protein,hypothetical protein
Sant_2691,Sant_2691,Peptidase M3A and M3B thimet/oligopeptidase F,Peptidase M3A and M3B thimet/oligopeptidase F
Sant_2692,Sant_2692,Glycosyl transferase family protein,Glycosyl transferase family protein
Sant_2693,Sant_2693,FMN-binding negative transcriptional regulator,FMN-binding negative transcriptional regulator
dinG,Sant_2694,dinG,ATP-dependent DNA helicase
Sant_2695,Sant_2695,GCN5-like N-acetyltransferase,GCN5-like N-acetyltransferase
Sant_2696,Sant_2696,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_2697,Sant_2697,ABC type choline\glycine\betaine transporter ATP-binding subunit,ABC type choline\glycine\betaine transporter ATP-binding subunit
yehY,Sant_2698,yehY,Inner membrane ABC transporter permease protein
Sant_2699,Sant_2699,ABC transporter,ABC transporter
Sant_2700,Sant_2700,Isopentenyl-diphosphate delta-isomerase,Isopentenyl-diphosphate delta-isomerase
Sant_2701,Sant_2701,Signal transduction sensory kinase,Signal transduction sensory kinase
Sant_2702,Sant_2702,Periplasmic beta-glucosidase,Periplasmic beta-glucosidase
Sant_2703,Sant_2703,Oxidoreductase domain protein,Oxidoreductase domain protein
Sant_2704,Sant_2704,GCN5-related N-acetyltransferase,GCN5-related N-acetyltransferase
gst,Sant_2705,gst,Glutathione S-transferase
pbpG,Sant_2706,pbpG,Penicillin-binding protein 7
Sant_2707,Sant_2707,Multi-drug resistance protein HylD family,Multi-drug resistance protein HylD family
emrB,Sant_2708,emrB,Multidrug resistance protein B
nodT,Sant_2709,nodT,RND efflux system outer membrane lipoprotein
yjcB,Sant_2710,yjcB,membrane protein
Sant_2711,Sant_2711,Membrane-bound PQQ-dependent dehydrogenase glucose/quinate/shikimate family,Membrane-bound PQQ-dependent dehydrogenase glucose/quinate/shikimate family
Sant_2712,Sant_2712,Phosphoglyceromutase,Phosphoglyceromutase
Sant_2713,Sant_2713,Integral membrane protein,Integral membrane protein
Sant_2714,Sant_2714,MarR family transcriptional regulator,MarR family transcriptional regulator
glnP,Sant_2715,glnP,Binding-protein-dependent transport systems inner membrane component
Sant_2716,Sant_2716,Polar amino acid ABC transporter inner membrane subunit,Polar amino acid ABC transporter inner membrane subunit
glnQ,Sant_2717,glnQ,ABC transporter
glnH,Sant_2718,glnH,Cysteine ABC transporter periplasmic substrate binding protein
Sant_2719,Sant_2719,hypothetical protein,hypothetical protein
dusC,Sant_2720,dusC,TRNA-dihydrouridine synthase C
rhlE,Sant_2721,rhlE,ATP-dependent RNA helicase
yecC,Sant_2722,yecC,Putative amino-acid ABC transporter ATP-binding protein
yedO,Sant_2723,yedO,D-cysteine desulfhydrase
Sant_2724,Sant_2724,hypothetical protein,hypothetical protein
moaE,Sant_2725,moaE,Molybdopterin biosynthesis protein
moaD,Sant_2726,moaD,Molybdopterin synthase small subunit
moaC,Sant_2727,moaC,Molybdopterin biosynthesis protein C
moaA,Sant_2728,moaA,Molybdenum cofactor biosynthesis protein A
Sant_2729,Sant_2729,hypothetical protein,hypothetical protein
uvrB,Sant_2730,uvrB,UvrABC system protein B
Sant_2731,Sant_2731,Amino acid transporter,Amino acid transporter
bioD,Sant_2732,bioD,Dithiobiotin synthetase
bioC,Sant_2733,bioC,Biotin synthesis protein
bioF,Sant_2734,bioF,8-amino-7-oxononanoate synthase
bioB,Sant_2735,bioB,Biotin synthase BioB
bioA,Sant_2736,bioA,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
Sant_2737,Sant_2737,ThiJ/PfpI family protein,ThiJ/PfpI family protein
Sant_2738,Sant_2738,Putative phosphatidylethanolamine-binding protein,Putative phosphatidylethanolamine-binding protein
pgl,Sant_2739,pgl,6-phosphogluconolactonase
Sant_2740,Sant_2740,Phosphotransferase,Phosphotransferase
ddl2,Sant_2741,ddl2,D-alanine-D-alanine ligase A
Sant_2742,Sant_2742,Putative outer membrane protein,Putative outer membrane protein
modE,Sant_2743,modE,DNA-binding transcriptional regulator
Sant_2744,Sant_2744,putative molybdenum transport ATP-binding protein,putative molybdenum transport ATP-binding protein
galE2,Sant_2745,galE2,UDP-galactose-4-epimerase
galT,Sant_2746,galT,Galactose-1-phosphate uridylyltransferase
galK,Sant_2747,galK,Galactokinase
galM,Sant_2748,galM,Aldose 1-epimerase
gpmA,Sant_2749,gpmA,23-bisphosphoglycerate-dependent phosphoglycerate mutase
aroG,Sant_2750,aroG,Phospho-2-dehydro-3-deoxyheptonate aldolase
Sant_2751,Sant_2751,Putative homeobox protein,Putative homeobox protein
zitB,Sant_2752,zitB,Zinc transporter
Sant_2753,Sant_2753,Metallophosphoesterase,Metallophosphoesterase
nadA,Sant_2754,nadA,Quinolinate synthetase
lysQ,Sant_t2755,lysQ tRNA,tRNA-Lys
lysZ,Sant_t2756,lysZ tRNA,tRNA-Lys
ybgF,Sant_2757,ybgF,Tol-pal system exported protein
pal,Sant_2758,pal,Peptidoglycan-associated outer membrane lipoprotein
tolB,Sant_2759,tolB,Colicin import protein
tolA,Sant_2760,tolA,Colicin import protein
tolR,Sant_2761,tolR,Colicin uptake protein
tolQ,Sant_2762,tolQ,Colicin uptake protein
ybgC,Sant_2763,ybgC,Acyl-CoA thioester hydrolase
ybgE,Sant_2764,ybgE,Cyd operon protein
ybgT,Sant_2765,ybgT,cyd operon protein YbgT
cydB1,Sant_2766,cydB1,Cytochrome d ubiquinol oxidase subunit II
cydA1,Sant_2767,cydA1,Cytochrome d ubiquinol oxidase subunit I
sucD,Sant_2768,sucD,Succinyl-CoA synthetase subunit alpha
sucC,Sant_2769,sucC,Succinyl-CoA synthetase subunit beta
sucB,Sant_2770,sucB,Dihydrolipoamide acetyltransferase
sucA,Sant_2771,sucA,Alpha-ketoglutarate decarboxylase
sdhB,Sant_2772,sdhB,Succinate dehydrogenase iron-sulfur subunit
sdhA,Sant_2773,sdhA,Succinate dehydrogenase flavoprotein subunit
sdhD,Sant_2774,sdhD,Succinate dehydrogenase cytochrome b556 small membrane subunit
sdhC,Sant_2775,sdhC,Succinate dehydrogenase cytochrome b556 large membrane subunit
gltA,Sant_2776,gltA,Type II citrate synthase
ybgK,Sant_2777,ybgK,Urea amidolyase-like protein
ybgJ,Sant_2778,ybgJ,Allophanate hydrolase subunit 1
ybgI,Sant_2779,ybgI,Putative hydrolase-oxidase
phrB,Sant_2780,phrB,Deoxyribodipyrimidine photolyase
ybgA,Sant_2781,ybgA,membrane protein
pgm,Sant_2782,pgm,Phosphoglucomutase alpha-D-glucose phosphate-specific
seqA,Sant_2783,seqA,Replication initiation regulator
ybfF,Sant_2784,ybfF,Putative alpha/beta hydrolase esterase protein
ybfE,Sant_2785,ybfE,LexA regulated protein
fldA,Sant_2786,fldA,Flavodoxin
furA,Sant_2787,furA,Ferric uptake regulator
Sant_2788,Sant_2788,hypothetical protein,hypothetical protein
glnS,Sant_2789,glnS,Glutaminyl-tRNA synthetase
nagE,Sant_2790,nagE,PTS system N-acetylglucosamine-specific IIABC component
nagB,Sant_2791,nagB,Glucosamine-6-phosphate deaminase
nagA,Sant_2792,nagA,N-acetylglucosamine-6-phosphate deacetylase
nagC,Sant_2793,nagC,N-acetylglucosamine repressor
asnB,Sant_2794,asnB,Asparagine synthetase B
metT,Sant_t2795,metT tRNA,tRNA-Met
leuW,Sant_t2796,leuW tRNA,tRNA-Leu
glnU,Sant_t2797,glnU tRNA,tRNA-Gln
glnW,Sant_t2798,glnW tRNA,tRNA-Gln
metU,Sant_t2799,metU tRNA,tRNA-Met
glnV,Sant_t2800,glnV tRNA,tRNA-Gln
glnX,Sant_t2801,glnX tRNA,tRNA-Gln
Sant_ps2802,Sant_ps2802,Pseudogene,
Sant_2803,Sant_2803,Putative chitinase,Putative chitinase
Sant_ps2804,Sant_ps2804,Pseudogene,
Sant_ps2805,Sant_ps2805,Pseudogene,
insB,Sant_ps2806,insB,
ubiF,Sant_2807,ubiF,2-octaprenyl-3-methyl-6-methoxy-14-benzoquinol hydroxylase
miaB,Sant_2808,miaB,TRNA-i(6)A37 thiotransferase
ybeZ,Sant_2809,ybeZ,Putative ATP-binding protein in pho regulon
ybeY,Sant_2810,ybeY,Putative metalloprotease
corC,Sant_2811,corC,Magnesium and cobalt efflux protein
lnt,Sant_2812,lnt,Apolipoprotein N-acyltransferase
Sant_2813,Sant_2813,Putative pyridoxamine 5'-phosphate oxidase,Putative pyridoxamine 5'-phosphate oxidase
gltI,Sant_2814,gltI,Glutamate and aspartate transporter subunit
gltJ,Sant_2815,gltJ,Glutamate/aspartate transport system permease protein
Sant_2816,Sant_2816,Polar amino acid ABC transporter inner membrane subunit,Polar amino acid ABC transporter inner membrane subunit
gltL,Sant_2817,gltL,Glutamate-aspartate ABC transporter ATP-binding component
Sant_2818,Sant_2818,hypothetical protein,hypothetical protein
leuS,Sant_2819,leuS,Leucyl-tRNA synthetase
lptE,Sant_2820,lptE,LPS-assembly lipoprotein
holA,Sant_2821,holA,DNA polymerase III subunit delta
nadD,Sant_2822,nadD,Nicotinic acid mononucleotide adenylyltransferase
ybeB,Sant_2823,ybeB,ribosome-associated protein
ybeA,Sant_2824,ybeA,RRNA large subunit methyltransferase
mrdA,Sant_2825,mrdA,Penicillin-binding protein 2
mrdB,Sant_2826,mrdB,Cell wall shape-determining protein
Sant_2827,Sant_2827,Rare lipoprotein A,Rare lipoprotein A
dacA,Sant_2828,dacA,D-alanyl-D-alanine carboxypeptidase fraction A
Sant_2829,Sant_2829,hypothetical protein,hypothetical protein
lipB,Sant_2830,lipB,Lipoate-protein ligase B
lipA,Sant_2831,lipA,Lipoyl synthase
tatE,Sant_2832,tatE,Twin arginine translocase protein E
crcB,Sant_2833,crcB,Camphor resistance protein
cspE,Sant_2834,cspE,Cold shock protein
Sant_2835,Sant_2835,Putative salt-induced outer membrane protein,Putative salt-induced outer membrane protein
lpxP,Sant_2836,lpxP,Lipid A biosynthesis palmitoleoyl acyltransferase
Sant_2837,Sant_2837,Putative lipoprotein,Putative lipoprotein
Sant_2838,Sant_2838,hypothetical protein,hypothetical protein
amiD2,Sant_2839,amiD2,N-acetylmuramoyl-L-alanine amidase
Sant_2840,Sant_2840,Putative nematicidal YD repeat-containing toxin protein,Putative nematicidal YD repeat-containing toxin protein
Sant_2841,Sant_2841,Putative nematicidal protein 2,Putative nematicidal protein 2
Sant_2842,Sant_2842,hypothetical protein,hypothetical protein
Sant_2843,Sant_2843,hypothetical protein,hypothetical protein
Sant_2844,Sant_2844,hypothetical protein,hypothetical protein
Sant_2845,Sant_2845,Transcriptional regulator XRE family,Transcriptional regulator XRE family
Sant_2846,Sant_2846,Putative transcriptional activator of maltose metabolism,Putative transcriptional activator of maltose metabolism
Sant_2847,Sant_2847,hypothetical protein,hypothetical protein
Sant_2848,Sant_2848,AraC family transcriptional regulator,AraC family transcriptional regulator
Sant_2849,Sant_2849,Acyltransferase 3,Acyltransferase 3
Sant_2850,Sant_2850,PTS sugar transporter subunit IIA,PTS sugar transporter subunit IIA
Sant_2851,Sant_2851,PTS system fructose subfamily IIA component,PTS system fructose subfamily IIA component
Sant_2852,Sant_2852,Glucuronyl hydrolase,Glucuronyl hydrolase
Sant_2853,Sant_2853,PTS system sorbose-specific IIB component,PTS system sorbose-specific IIB component
Sant_2854,Sant_2854,PTS sorbose-specific transporter subunit IIC,PTS sorbose-specific transporter subunit IIC
Sant_2855,Sant_2855,PTS system sorbose-specific IID component,PTS system sorbose-specific IID component
